STATE_NAME,NAME,KEY,ID,rate_brcamort9397,MDratio,hosp,hosponc,scrnmamm,pcturban,urbrural,pcincome,pctpoor,pctlt9ed,pcthsed,pctcoled,unemploy,homevalu,rent,pop96,mammog2ysm,SmokecurF,SmokevrF,Obese,Noins
Minnesota,"Lake of the Woods",0,1321,20.9,66.8,22.27,0,0,0,9,17856,10.6,14,75.2,11,4.1,40100,244,4598,0,0.19,0.41,0.32,0.08
Washington,Ferry,1,2921,11.3,56.02,14.01,0,0,0,9,14340,23.7,8.8,72.6,12,13.3,47800,257,7195,0.54,0.21,0.42,0.38,0.12
Washington,Stevens,2,2944,25.2,87.75,5.32,0,2.75,14.1,6,15201,17.2,7.1,80.9,12.1,9.4,56800,306,38624,0.46,0.23,0.39,0.23,0.12
Washington,Okanogan,3,2935,21.6,111.94,8.19,0,8.38,12.3,7,18253,21.5,12.3,71.3,12,10.5,50600,277,38005,,0.3,0.53,0.3,0.21
Washington,"Pend Oreille",4,2937,15.3,46.52,9.3,0,0,0,8,15560,20.2,7.6,74.8,12,13.4,50300,292,11141,0.23,0.15,0.4,0.37,0.12
Idaho,Boundary,5,530,21.4,52.37,10.47,0,10.88,0,9,13426,14,11.1,74.6,13.3,8.8,48500,296,9823,0.51,0.19,0.41,0.33,0.13
Montana,Lincoln,6,1593,30,80.31,5.35,0,5.43,15.1,7,13604,14.1,11.8,73.3,12.5,14.5,47900,280,18833,0.59,0.2,0.46,0.35,0.11
Montana,Flathead,7,1581,30.8,192.77,2.88,2.81,4.46,39.7,5,18972,14.5,6.8,82.1,17.2,8.2,64200,332,71253,0.41,0.09,0.33,0.21,0.13
Montana,Glacier,8,1584,26.8,78.88,15.78,7.89,0,27.5,7,13531,35.7,10.9,72,14.5,14.3,44400,257,12675,0.53,0.21,0.46,0.32,0.15
Montana,Toole,9,1617,15.8,78.39,19.6,20.33,0,54.8,7,22375,14.9,13.3,77.4,14,5.3,38600,243,4918,0.41,0.2,0.46,0.31,0.15
Montana,Liberty,10,1592,42.7,178.09,44.52,0,44.68,0,9,21785,18,15.6,77.2,16.9,2.5,42000,267,2311,0.41,0.22,0.49,0.32,0.18
Montana,Hill,11,1587,21.1,118.86,5.66,0,0,58.5,7,19212,18,11.1,78.4,18.1,6.1,52200,292,17730,0.45,0.19,0.42,0.31,0.13
Montana,Sheridan,12,1612,21.2,45.14,22.57,0,22.55,0,9,19259,16.2,18,74.5,11.7,2.9,39400,276,4363,0.47,0.24,0.51,0.31,0.13
"North Dakota",Divide,13,1973,34.3,78.19,39.09,0,0,0,9,19113,12.5,21.7,69.4,12.8,1.9,26200,220,2523,0.43,0.2,0.38,0.37,0.11
"North Dakota",Burke,14,1968,30.1,0,0,0,0,0,9,19111,18.4,22.6,66.9,8.7,3.1,20100,233,2469,0.51,0.21,0.45,0.33,0.14
"North Dakota",Renville,15,1999,26,70.35,0,0,0,0,9,17040,11.6,16.6,74.2,9.8,2,36300,273,2843,0.51,0.19,0.35,0.35,0.08
"North Dakota",Bottineau,16,1966,3.4,38.93,12.98,0,12.97,32.4,7,16817,12.9,15.1,74.9,14.3,2.8,37800,274,7538,0.5,0.23,0.47,0.31,0.11
"North Dakota",Rolette,17,2001,21.8,65.32,14.51,7.13,7.4,0,9,12006,40.7,21.1,59.4,11.7,9.4,39000,189,14029,0.52,0.21,0.45,0.35,0.1
"North Dakota",Towner,18,2009,43.7,93.4,31.13,0,30.95,0,9,14815,21.5,18.3,71.9,12.7,3,29700,265,3209,0.45,0.2,0.42,0.35,0.12
"North Dakota",Cavalier,19,1971,25.4,54.8,18.27,0,17.68,0,9,17080,14.1,20.5,68.4,12.6,4.1,38600,276,5270,0.58,0.19,0.42,0.35,0.1
"North Dakota",Pembina,20,1995,21.6,56.88,11.38,0,11.39,0,9,22915,9.2,16.3,73.1,13.1,6.3,41300,268,8741,0.49,0.2,0.38,0.42,0.11
Minnesota,Kittson,21,1317,32,109.91,18.32,0,18.3,0,9,18384,12.1,20.3,71,12.5,6.3,28300,253,5419,0.58,0.24,0.49,0.36,0.09
Minnesota,Roseau,22,1350,24.7,68.76,6.25,6.17,6.42,0,9,19043,11.3,17,71.8,10.2,3.6,48800,326,16215,0.53,0.24,0.49,0.36,0.08
Montana,Blaine,23,1569,24.8,56.88,14.22,0,0,0,9,11947,27.7,14.6,70.4,14.4,9.7,41000,235,7114,0.45,0.23,0.42,0.31,0.14
Montana,Phillips,24,1602,22.8,38.83,19.41,0,0,0,9,14684,17.3,15.2,74.1,13.1,6.1,40300,273,5025,0.5,0.22,0.46,0.35,0.2
Montana,Valley,25,1619,11.3,106.36,11.82,0,12.03,43.4,7,17997,16.6,9.1,78.6,13.2,4.5,37400,272,8363,0.47,0.23,0.46,0.3,0.13
Montana,Daniels,26,1576,26,93.46,46.73,0,0,0,9,22084,15.5,15.4,74.4,11.5,2.8,30600,226,2136,0.47,0.2,0.39,0.35,0.12
Washington,Whatcom,27,2948,21.1,164.51,0.67,0.66,1.38,59.2,3,19775,12.3,5.8,83.2,22,7.4,90400,425,152512,0.27,0.19,0.47,0.33,0.11
Idaho,Bonner,28,528,20.3,99.76,3.02,0,3.14,19.6,6,15909,15.6,6.5,78.2,15.2,8.9,60800,318,33976,0.61,0.18,0.37,0.35,0.13
"North Dakota",Ward,29,2012,25.7,221.17,6.81,1.67,10.37,75.3,5,18955,12.7,9.6,82.8,19,3.3,53600,322,59734,0.48,0.2,0.44,0.37,0.11
Minnesota,Koochiching,30,1318,21.5,93.85,6.26,6.31,6.22,51.1,7,16194,12.9,12.3,73,10.4,8.7,41600,312,15858,0.59,0.19,0.37,0.37,0.08
Washington,Skagit,31,2940,20.9,197.82,2.13,2.09,4.36,49.6,4,21535,11.5,6.9,81,16.3,9,80800,422,95543,0.37,0.23,0.41,0.32,0.1
"North Dakota",Williams,32,2014,22.9,175.22,9.73,4.87,9.79,62.1,7,18093,14,12.8,76.8,14.3,3.8,42700,266,20534,0.48,0.27,0.44,0.4,0.17
"North Dakota",McHenry,33,1986,24.3,31.64,0,0,0,0,9,14147,18.9,22.5,66.7,9.7,3.3,23200,207,6161,0.62,0.19,0.4,0.37,0.12
Minnesota,"St. Louis",34,1351,21.6,228.26,4.06,2.55,5.05,70.5,3,20428,14.2,7.3,80.3,17.3,5.7,41600,291,196414,0.46,0.19,0.41,0.32,0.08
Washington,"San Juan",35,2939,20.1,186.71,0,0,8.73,0,8,29837,7.4,1.8,91.2,33.5,6.5,169800,475,12061,0.38,0.25,0.44,0.38,0.12
Montana,Roosevelt,36,1609,25.6,62.26,17.79,0,0,26.2,7,13365,27.7,10.9,70.1,11.3,10.1,40500,280,11065,0.59,0.2,0.46,0.3,0.12
"North Dakota",Mountrial,37,1992,25.7,58.85,14.71,0,0,0,9,16554,21.1,17.6,73,12.9,8.9,32100,240,6753,0.43,0.2,0.42,0.38,0.13
Minnesota,Marshall,38,1327,12,18.88,9.44,0,0,0,8,16569,13.8,21.7,68.5,10.2,9.8,34500,217,10563,0.59,0.18,0.37,0.37,0.06
"North Dakota",Ramsey,39,1997,28.7,157.73,7.89,8.03,7.9,61.4,7,18732,13.2,14.2,74.5,16.3,3.3,45400,288,12455,0.47,0.21,0.42,0.36,0.1
"North Dakota",Walsh,40,2011,31.4,117.29,15.64,7.81,15.55,35,6,18890,13.4,22.3,68,13,5.6,42000,281,12799,0.43,0.2,0.38,0.37,0.11
Minnesota,Beltrami,41,1286,18.5,113.36,5.27,2.61,5.35,32.7,7,16086,24,11,75.9,20.4,6.4,48800,320,38274,0,0.19,0.41,0.35,0.09
"North Dakota",Pierce,42,1996,9.2,192.51,21.39,0,0,57.6,7,18063,15.9,25.3,65.9,13.4,2.5,34700,271,4718,0.45,0.2,0.45,0.35,0.11
Washington,Chelan,43,2915,24.6,278.29,5.19,1.68,5.37,52.3,5,21591,15.3,10.3,74.3,16.7,9.8,71800,343,59532,0.51,0.24,0.43,0.25,0.1
